発生日,地域,マグニチュード,最大震度
2018/6/18,大阪,6.1,震度６弱
2018/6/18,大阪,2.8,震度１
2018/6/18,大阪,3.3,震度２
2018/6/18,大阪,2.8,震度１
2018/6/18,大阪,3.3,震度２
2018/6/18,大阪,2.7,震度１
2018/6/18,大阪,3,震度２
2018/6/18,大阪,2.8,震度１
2018/6/18,大阪,2.3,震度１
2018/6/18,大阪,2.7,震度１
2018/6/18,大阪,3.3,震度２
2018/6/18,大阪,2.4,震度１
2018/6/18,大阪,2.8,震度１
2018/6/18,大阪,2.6,震度１
2018/6/18,大阪,3.2,震度２
2018/6/18,大阪,2.7,震度１
2018/6/18,大阪,3,震度１
2018/6/18,大阪,2.7,震度１
2018/6/18,大阪,2.9,震度２
2018/6/18,大阪,3.5,震度２
2018/6/19,大阪,4.1,震度４
2018/6/19,大阪,2.8,震度２
2018/6/19,大阪,2.7,震度１
2018/6/19,大阪,2.4,震度１
2018/6/19,大阪,3.2,震度１
2018/6/19,大阪,3.9,震度３
2018/6/19,大阪,3.5,震度２
2018/6/19,大阪,3.9,震度３
2018/6/19,大阪,2.7,震度１
2018/6/19,大阪,2.5,震度１
2018/6/19,大阪,3.1,震度１
2018/6/20,大阪,3.5,震度２
2018/6/20,大阪,3.2,震度１
2018/6/21,大阪,2.4,震度１
2018/6/22,大阪,2.9,震度１
2018/6/22,大阪,2.5,震度１
2018/6/23,大阪,4,震度３
2018/7/1,大阪,3.5,震度３
2018/7/8,大阪,3.9,震度２
2018/7/13,大阪,2.6,震度１
2018/7/15,大阪,3.4,震度１
2018/7/15,大阪,3.1,震度１
2018/7/16,大阪,2.7,震度１
2018/7/17,大阪,2.7,震度１
2018/7/19,大阪,2.8,震度１
2018/7/20,大阪,2.6,震度１
2018/7/21,大阪,2.6,震度１
2018/7/28,大阪,3,震度１
2018/7/29,大阪,3.1,震度２
2018/7/30,大阪,2.3,震度１
2018/8/1,大阪,2.6,震度１
2018/8/19,大阪,3.3,震度１
2018/8/28,大阪,4,震度３
2018/9/15,大阪,2.7,震度２
2018/10/6,大阪,2.2,震度１
2018/10/7,大阪,5,震度１
2018/10/7,大阪,2.6,震度１
2018/10/9,大阪,2.9,震度１
2018/10/16,大阪,2.7,震度１
2018/10/17,大阪,2.6,震度１
2018/10/27,大阪,4.2,震度１
2018/11/2,大阪,5.4,震度３
2018/11/5,大阪,4.6,震度２
2018/11/22,大阪,2.6,震度１
2018/11/25,大阪,4.1,震度１
2018/12/3,大阪,4,震度２
2018/12/7,大阪,2.4,震度１
2018/12/14,大阪,3.3,震度２
2018/12/19,大阪,2.8,震度１
2019/3/13,大阪,5.3,震度３
2019/4/12,大阪,2.9,震度１
2019/4/14,大阪,2.5,震度１
2019/5/21,大阪,3.5,震度２
2019/5/27,大阪,2.4,震度１
2019/6/16,大阪,2.9,震度１
2019/6/16,大阪,2.5,震度１
2019/6/17,大阪,2.5,震度１
2019/7/28,大阪,6.6,震度１
2019/8/4,大阪,2.6,震度１
2019/8/20,大阪,2.9,震度１
2019/9/22,大阪,2.9,震度１
2019/10/26,大阪,3.5,震度１
2019/10/27,大阪,3.2,震度２
2019/10/30,大阪,3.4,震度２
2019/11/13,大阪,3.2,震度２
2020/2/23,大阪,3.1,震度１
2020/3/3,大阪,3.2,震度１
2020/5/17,大阪,4.6,震度１
2020/6/15,大阪,2.7,震度１
2020/6/17,大阪,4.4,震度１
2020/7/8,大阪,2.9,震度１
2020/8/1,大阪,4.2,震度２
2020/8/9,大阪,2.9,震度２
2020/9/4,大阪,2.3,震度１
2020/9/4,大阪,5,震度１
2020/9/27,大阪,5.1,震度１
2020/10/12,大阪,3,震度１
2020/10/26,大阪,4,震度２
2020/12/4,大阪,2,震度１
2020/12/17,大阪,3.3,震度１
2021/1/3,大阪,2.7,震度１
2021/1/28,大阪,2.5,震度１
2021/2/1,大阪,4,震度１
2021/2/13,大阪,7.3,震度２
2021/2/15,大阪,3.1,震度１
2021/2/15,大阪,4,震度３
2021/2/15,大阪,3,震度１
2021/2/22,大阪,3.3,震度１
2021/2/28,大阪,3.7,震度２
2021/3/15,大阪,4.6,震度１
2021/3/20,大阪,6.9,震度１
2021/3/21,大阪,3.1,震度２
