発生日,地域,マグニチュード,最大震度
2018/2/20,京都,3.2,震度２
2018/3/10,京都,3.2,震度２
2018/4/9,京都,6.1,震度２
2018/4/9,京都,4.9,震度１
2018/4/14,京都,4.5,震度１
2018/4/29,京都,3.4,震度２
2018/4/29,京都,2.7,震度１
2018/5/12,京都,3.8,震度１
2018/6/18,京都,6.1,震度５強
2018/6/18,京都,2.8,震度１
2018/6/18,京都,3.3,震度２
2018/6/18,京都,2.8,震度１
2018/6/18,京都,3.3,震度２
2018/6/18,京都,2.7,震度１
2018/6/18,京都,3,震度１
2018/6/18,京都,2.7,震度１
2018/6/18,京都,3.3,震度２
2018/6/18,京都,2.4,震度１
2018/6/18,京都,2.8,震度１
2018/6/18,京都,2.6,震度１
2018/6/18,京都,3.2,震度２
2018/6/18,京都,2.7,震度１
2018/6/18,京都,3,震度１
2018/6/18,京都,2.7,震度１
2018/6/18,京都,2.9,震度１
2018/6/18,京都,3.5,震度３
2018/6/18,京都,2.4,震度１
2018/6/19,京都,4.1,震度４
2018/6/19,京都,2.8,震度１
2018/6/19,京都,2.5,震度１
2018/6/19,京都,2.7,震度１
2018/6/19,京都,3.2,震度１
2018/6/19,京都,3.9,震度３
2018/6/19,京都,3.5,震度２
2018/6/19,京都,3.9,震度３
2018/6/19,京都,2.7,震度１
2018/6/19,京都,3.1,震度２
2018/6/20,京都,3.5,震度２
2018/6/20,京都,3.2,震度２
2018/6/21,京都,2.4,震度１
2018/6/21,京都,2.8,震度１
2018/6/22,京都,2.9,震度１
2018/6/22,京都,2.5,震度１
2018/6/23,京都,4,震度３
2018/6/28,京都,2.8,震度１
2018/7/1,京都,3.5,震度２
2018/7/3,京都,2.7,震度１
2018/7/8,京都,3.9,震度２
2018/7/13,京都,2.6,震度１
2018/7/15,京都,3.4,震度２
2018/7/16,京都,2.7,震度１
2018/7/17,京都,2.7,震度１
2018/7/19,京都,2.8,震度１
2018/7/20,京都,2.6,震度１
2018/7/28,京都,3,震度１
2018/7/29,京都,3.1,震度１
2018/7/30,京都,2.3,震度１
2018/8/4,京都,2.5,震度１
2018/8/19,京都,3.3,震度１
2018/8/25,京都,3.3,震度３
2018/8/25,京都,3,震度１
2018/8/28,京都,4,震度３
2018/9/15,京都,2.7,震度１
2018/9/21,京都,3.2,震度１
2018/10/1,京都,3.1,震度１
2018/10/7,京都,5,震度１
2018/10/7,京都,2.6,震度１
2018/10/9,京都,2.9,震度１
2018/10/16,京都,2.7,震度１
2018/10/17,京都,2.6,震度１
2018/10/17,京都,3.6,震度１
2018/10/27,京都,4.2,震度２
2018/11/2,京都,5.4,震度３
2018/11/5,京都,4.6,震度２
2018/11/5,京都,2.6,震度１
2018/11/28,京都,3.2,震度１
2018/12/3,京都,4,震度１
2018/12/7,京都,2.4,震度１
2018/12/14,京都,3.3,震度２
2018/12/19,京都,2.8,震度１
2018/12/25,京都,2.5,震度１
2018/12/29,京都,2.7,震度１
2019/3/9,京都,4.4,震度１
2019/3/13,京都,5.3,震度２
2019/3/26,京都,2.3,震度１
2019/4/12,京都,2.9,震度１
2019/4/14,京都,2.5,震度１
2019/5/2,京都,2.5,震度１
2019/5/6,京都,2.8,震度１
2019/5/17,京都,2.3,震度１
2019/5/21,京都,3.5,震度３
2019/5/24,京都,3.8,震度１
