発生日,地域,マグニチュード,最大震度
2013/11/21,沖縄,3.9,震度２
2013/11/22,沖縄,3.7,震度１
2013/12/1,沖縄,4.7,震度２
2013/12/3,沖縄,3.2,震度１
2013/12/7,沖縄,3.6,震度１
2013/12/14,沖縄,4,震度３
2013/12/19,沖縄,2.8,震度１
2013/12/19,沖縄,4.1,震度２
2013/12/20,沖縄,4.3,震度１
2013/12/25,沖縄,3.2,震度１
2013/12/31,沖縄,3,震度１
2014/1/9,沖縄,5.5,震度４
2014/1/16,沖縄,3.7,震度１
2014/1/25,沖縄,3.4,震度１
2014/1/28,沖縄,4.7,震度２
2014/2/6,沖縄,5,震度３
2014/2/12,沖縄,3.9,震度１
2014/2/19,沖縄,4.3,震度１
2014/2/22,沖縄,4.5,震度２
2014/2/24,沖縄,4.3,震度１
2014/2/27,沖縄,2.5,震度１
2014/3/1,沖縄,3.4,震度１
2014/3/3,沖縄,6.4,震度４
2014/3/3,沖縄,5,震度３
2014/3/16,沖縄,3.6,震度１
2014/3/16,沖縄,2.5,震度１
2014/3/17,沖縄,2.8,震度１
2014/3/17,沖縄,5.4,震度２
2014/3/19,沖縄,4.3,震度２
2014/3/19,沖縄,6,震度２
2014/3/21,沖縄,4,震度２
2014/3/26,沖縄,3.3,震度１
2014/4/6,沖縄,3.9,震度１
2014/4/8,沖縄,3.5,震度１
2014/4/10,沖縄,4.8,震度１
2014/4/28,沖縄,3.9,震度１
2014/5/3,沖縄,3.3,震度１
2014/5/3,沖縄,3.5,震度１
2014/5/9,沖縄,3.8,震度１
2014/5/13,沖縄,3.6,震度１
2014/5/17,沖縄,4.2,震度１
2014/5/17,沖縄,3.8,震度１
2014/5/17,沖縄,3.8,震度１
2014/5/17,沖縄,4.6,震度１
2014/6/18,沖縄,3.8,震度１
2014/6/18,沖縄,5.2,震度２
2014/6/18,沖縄,3.9,震度１
2014/6/19,沖縄,4.5,震度３
2014/6/27,沖縄,3.6,震度１
2014/7/3,沖縄,4.2,震度２
2014/7/3,沖縄,4.4,震度１
2014/7/3,沖縄,3.4,震度１
2014/7/11,沖縄,5.3,震度２
2014/7/23,沖縄,3.6,震度１
2014/8/3,沖縄,5.6,震度１
2014/8/4,沖縄,3.4,震度１
2014/8/7,沖縄,3.7,震度１
2014/8/15,沖縄,5.5,震度１
2014/8/20,沖縄,3.9,震度１
2014/9/3,沖縄,3.1,震度１
2014/9/6,沖縄,2,震度１
2014/9/7,沖縄,2.6,震度１
2014/9/7,沖縄,5,震度２
2014/9/13,沖縄,3.8,震度１
2014/9/18,沖縄,5.2,震度４
2014/9/18,沖縄,3.9,震度１
2014/9/27,沖縄,3.2,震度１
2014/9/27,沖縄,3,震度１
2014/9/30,沖縄,3.4,震度１
2014/10/7,沖縄,3.8,震度１
2014/10/15,沖縄,5.1,震度４
2014/10/18,沖縄,3.8,震度１
2014/10/22,沖縄,4.2,震度１
2014/10/22,沖縄,5.6,震度３
2014/10/27,沖縄,3.6,震度１
2014/10/30,沖縄,3.2,震度１
2014/11/6,沖縄,3.4,震度１
2014/11/8,沖縄,3.1,震度１
2014/11/11,沖縄,2.7,震度１
2014/11/18,沖縄,5,震度１
2014/12/11,沖縄,6.1,震度２
2014/12/13,沖縄,2.6,震度１
2014/12/23,沖縄,3.1,震度１
2014/12/23,沖縄,2.9,震度１
2014/12/31,沖縄,4.7,震度１
2015/1/12,沖縄,4.2,震度２
2015/1/14,沖縄,4.7,震度３
2015/1/16,沖縄,3.9,震度２
2015/1/29,沖縄,3.8,震度１
2015/2/7,沖縄,3.6,震度１
2015/2/13,沖縄,3.5,震度２
2015/2/14,沖縄,6.2,震度１
2015/2/17,沖縄,3.6,震度２
2015/2/17,沖縄,2.5,震度１
2015/2/20,沖縄,3.4,震度１
2015/2/24,沖縄,4.1,震度２
2015/3/6,沖縄,4.4,震度３
2015/3/6,沖縄,3.8,震度２
2015/3/13,沖縄,4.5,震度３
2015/3/13,沖縄,2.8,震度１
2015/3/14,沖縄,4.3,震度３
2015/3/16,沖縄,4.5,震度３
2015/3/17,沖縄,3.3,震度１
2015/3/17,沖縄,3.5,震度１
2015/3/20,沖縄,4.4,震度１
2015/3/23,沖縄,5.8,震度１
2015/3/24,沖縄,3,震度２
2015/3/31,沖縄,4,震度２
2015/4/6,沖縄,4.5,震度１
2015/4/20,沖縄,6.8,震度４
2015/4/20,沖縄,5.4,震度１
2015/4/20,沖縄,6,震度３
2015/4/20,沖縄,6.4,震度２
2015/4/21,沖縄,4.2,震度１
2015/4/26,沖縄,5.6,震度２
2015/4/29,沖縄,3.5,震度１
2015/4/29,沖縄,5.1,震度１
2015/4/30,沖縄,3.9,震度２
2015/5/3,沖縄,4.8,震度１
2015/5/7,沖縄,3.8,震度２
2015/5/10,沖縄,2.7,震度１
2015/5/12,沖縄,3.8,震度１
2015/5/13,沖縄,4.4,震度２
2015/5/22,沖縄,3.6,震度２
2015/5/23,沖縄,3.3,震度１
2015/5/26,沖縄,4.8,震度１
2015/5/26,沖縄,3.6,震度１
2015/5/28,沖縄,4.8,震度１
2015/5/29,沖縄,3.4,震度１
