発生日,地域,マグニチュード,最大震度
2020/1/29,沖縄,5.7,震度２
2020/2/20,沖縄,4.2,震度１
2020/3/7,沖縄,3.5,震度２
2020/3/15,沖縄,4.2,震度１
2020/3/15,沖縄,3.3,震度１
2020/3/16,沖縄,3.2,震度１
2020/3/23,沖縄,4.5,震度２
2020/3/24,沖縄,3.4,震度１
2020/3/24,沖縄,3,震度１
2020/3/29,沖縄,4.4,震度１
2020/3/29,沖縄,5,震度２
2020/3/29,沖縄,3.9,震度１
2020/3/30,沖縄,3.6,震度１
2020/3/31,沖縄,5.5,震度２
2020/4/1,沖縄,4.2,震度１
2020/4/1,沖縄,4.3,震度１
2020/4/2,沖縄,4.5,震度３
2020/4/4,沖縄,3.9,震度１
2020/4/8,沖縄,4.5,震度２
2020/4/12,沖縄,3.8,震度１
2020/4/15,沖縄,5.2,震度２
2020/4/15,沖縄,4.6,震度１
2020/4/17,沖縄,5.3,震度２
2020/4/17,沖縄,4.8,震度１
2020/4/18,沖縄,4.1,震度１
2020/4/20,沖縄,4.3,震度２
2020/4/26,沖縄,4.7,震度１
2020/4/26,沖縄,3.5,震度１
2020/4/26,沖縄,4.6,震度１
2020/5/6,沖縄,3.5,震度１
2020/5/18,沖縄,3,震度１
2020/5/23,沖縄,4.9,震度３
2020/5/23,沖縄,3.6,震度１
2020/5/27,沖縄,5.2,震度３
2020/5/28,沖縄,3.3,震度１
2020/6/3,沖縄,4.6,震度２
2020/6/4,沖縄,4.8,震度２
2020/6/10,沖縄,3.3,震度１
2020/6/14,沖縄,6.3,震度３
2020/6/14,沖縄,5.5,震度２
2020/6/15,沖縄,5,震度１
2020/6/15,沖縄,5.9,震度１
2020/6/15,沖縄,5.5,震度１
2020/6/15,沖縄,5.4,震度１
2020/6/16,沖縄,4.4,震度１
2020/6/19,沖縄,5.2,震度１
2020/6/19,沖縄,5.7,震度２
2020/6/19,沖縄,4.4,震度３
2020/6/19,沖縄,5.6,震度２
2020/6/19,沖縄,4.6,震度１
2020/6/22,沖縄,4.4,震度２
2020/6/26,沖縄,4.6,震度２
2020/6/29,沖縄,4.3,震度２
2020/6/30,沖縄,4,震度１
2020/7/20,沖縄,5,震度２
2020/7/26,沖縄,5.5,震度２
2020/7/29,沖縄,3.5,震度１
2020/8/1,沖縄,4.5,震度１
2020/8/7,沖縄,3.2,震度１
2020/8/9,沖縄,3.8,震度１
2020/8/12,沖縄,4.6,震度１
2020/8/14,沖縄,4.1,震度１
2020/9/1,沖縄,3.5,震度１
2020/9/4,沖縄,4.2,震度１
2020/9/6,沖縄,3.4,震度１
2020/9/8,沖縄,4.7,震度２
2020/9/10,沖縄,1.5,震度１
2020/9/14,沖縄,4.4,震度１
2020/9/23,沖縄,3.8,震度１
2020/9/26,沖縄,4.8,震度１
2020/9/27,沖縄,4.7,震度３
2020/9/27,沖縄,3.7,震度１
2020/9/30,沖縄,5,震度１
2020/10/1,沖縄,2.4,震度１
2020/10/10,沖縄,3,震度１
2020/10/22,沖縄,4,震度１
2020/10/22,沖縄,4.6,震度２
2020/11/1,沖縄,4.2,震度１
2020/11/2,沖縄,2.8,震度２
2020/11/13,沖縄,4,震度２
2020/11/15,沖縄,4.5,震度２
2020/11/29,沖縄,4.9,震度１
2020/12/2,沖縄,3,震度２
2020/12/2,沖縄,2.8,震度１
2020/12/10,沖縄,6.3,震度２
2020/12/11,沖縄,4.9,震度１
2020/12/11,沖縄,5.2,震度２
2020/12/11,沖縄,4.3,震度１
2020/12/17,沖縄,4,震度２
2020/12/28,沖縄,2.4,震度１
2020/12/28,沖縄,4.2,震度２
2021/1/2,沖縄,4.9,震度１
2021/1/3,沖縄,3.8,震度１
2021/1/3,沖縄,5.2,震度２
2021/1/3,沖縄,4.7,震度１
2021/1/11,沖縄,4.9,震度１
2021/1/15,沖縄,4.5,震度１
2021/1/16,沖縄,3.6,震度１
2021/1/21,沖縄,4.3,震度１
2021/1/21,沖縄,2.7,震度１
2021/1/24,沖縄,3.6,震度２
2021/1/25,沖縄,3.7,震度１
2021/1/25,沖縄,5.5,震度２
2021/1/25,沖縄,5,震度１
2021/2/4,沖縄,3.7,震度１
2021/2/5,沖縄,3.5,震度１
2021/2/7,沖縄,5.2,震度２
2021/2/9,沖縄,4.5,震度１
2021/2/9,沖縄,5.5,震度１
2021/2/11,沖縄,4,震度１
2021/2/18,沖縄,4.2,震度１
2021/3/27,沖縄,6.2,震度２
2021/3/28,沖縄,4.5,震度１
