ダウンロードした時刻：2021/02/03 17:45:41

,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,6.4,8,1,9.2,8,1,2.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/2,5.7,8,1,8.5,8,1,0.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/3,4.7,8,1,10.8,8,1,-0.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/4,6.0,8,1,11.1,8,1,-1.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/5,7.8,8,1,11.7,8,1,2.2,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/6,7.7,8,1,12.9,8,1,2.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/7,7.2,8,1,12.7,8,1,1.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/8,8.1,8,1,11.8,8,1,3.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/9,6.5,8,1,9.5,8,1,2.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/10,6.5,8,1,9.5,8,1,3.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/11,8.0,8,1,12.1,8,1,3.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/12,9.4,8,1,13.4,8,1,6.1,8,1,1.5,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/13,10.0,8,1,13.9,8,1,5.5,8,1,4.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/14,8.4,8,1,14.2,8,1,2.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/15,8.8,8,1,10.9,8,1,4.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/16,5.7,8,1,9.1,8,1,1.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/17,5.6,8,1,8.7,8,1,0.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/18,6.6,8,1,11.6,8,1,1.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/19,8.4,8,1,13.7,8,1,1.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/20,11.1,8,1,14.3,8,1,8.6,8,1,4.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/21,7.1,8,1,9.9,8,1,4.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/22,7.7,8,1,11.6,8,1,3.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/23,8.7,8,1,14.0,8,1,3.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/24,8.0,8,1,13.3,8,1,1.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/25,7.9,8,1,12.6,8,1,2.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2019/1/26,4.6,8,1,8.1,8,1,1.1,8,1,5.0,8,1,,0,1,,0,1,,0,1,,0,1
