ダウンロードした時刻：2021/02/03 17:21:51

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2013/1/28,5.4,8,1,10.5,8,1,1.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雪,8,1,快晴,8,1
2013/1/29,7.1,8,1,12.4,8,1,2.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2013/1/30,8.1,8,1,13.6,8,1,3.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/1/31,5.8,8,1,9.6,8,1,2.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,快晴,8,1
2013/2/1,7.9,8,1,12.6,8,1,2.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇一時雨,8,1
2013/2/2,15.6,8,1,20.9,8,1,12.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,晴一時曇,8,1
2013/2/3,9.9,8,1,13.2,8,1,6.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇,8,1
2013/2/4,10.1,8,1,14.8,8,1,6.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,晴,8,1
2013/2/5,9.5,8,1,12.4,8,1,6.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後雨一時みぞれ,8,1
2013/2/6,3.4,8,1,9.0,8,1,1.6,8,1,16.0,0,8,1,0,1,8,1,0,1,8,1,みぞれ時々雪後雨,8,1,曇後一時雨,8,1
2013/2/7,7.1,8,1,12.7,8,1,3.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇後一時晴,8,1
2013/2/8,4.7,8,1,7.1,8,1,1.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴後曇,8,1
2013/2/9,4.4,8,1,8.4,8,1,1.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇時々晴,8,1
2013/2/10,5.4,8,1,10.4,8,1,1.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/2/11,5.0,8,1,9.3,8,1,2.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2013/2/12,4.1,8,1,6.9,8,1,0.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇後みぞれ、あられを伴う,8,1
2013/2/13,6.7,8,1,12.3,8,1,1.1,8,1,8.5,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々曇,8,1
2013/2/14,7.3,8,1,9.9,8,1,5.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,曇,8,1
2013/2/15,5.4,8,1,8.3,8,1,3.5,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,晴一時雨,8,1
2013/2/16,3.1,8,1,6.0,8,1,0.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/2/17,4.1,8,1,8.0,8,1,0.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇時々晴,8,1
2013/2/18,5.2,8,1,8.9,8,1,1.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇一時雨,8,1
2013/2/19,5.5,8,1,8.9,8,1,2.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,雪時々曇,8,1,曇,8,1
2013/2/20,4.4,8,1,8.9,8,1,1.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴,8,1
2013/2/21,4.5,8,1,9.0,8,1,0.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2013/2/22,5.5,8,1,8.7,8,1,1.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,快晴,8,1
2013/2/23,6.2,8,1,10.1,8,1,3.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2013/2/24,3.6,8,1,8.1,8,1,0.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/2/25,3.0,8,1,8.5,8,1,-0.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/2/26,5.5,8,1,9.0,8,1,1.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,曇後雨,8,1
2013/2/27,5.5,8,1,9.1,8,1,2.6,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇一時晴,8,1,晴後曇,8,1
2013/2/28,9.9,8,1,15.7,8,1,4.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴後曇,8,1
2013/3/1,13.6,8,1,17.6,8,1,7.9,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時雨,8,1
2013/3/2,8.7,8,1,12.0,8,1,4.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/3/3,6.8,8,1,9.7,8,1,3.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2013/3/4,6.4,8,1,9.4,8,1,4.2,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,雨時々曇後晴,8,1
2013/3/5,8.4,8,1,13.7,8,1,3.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2013/3/6,11.0,8,1,16.4,8,1,4.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/3/7,13.5,8,1,18.7,8,1,7.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,薄曇後晴,8,1
2013/3/8,17.7,8,1,23.2,8,1,10.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴,8,1
2013/3/9,16.7,8,1,22.3,8,1,11.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2013/3/10,13.6,8,1,25.3,8,1,5.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,快晴,8,1
2013/3/11,7.9,8,1,12.4,8,1,3.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2013/3/12,10.7,8,1,15.7,8,1,4.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2013/3/13,17.2,8,1,21.2,8,1,13.1,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,薄曇後一時晴,8,1,雨,8,1
2013/3/14,8.3,8,1,14.3,8,1,5.9,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴、あられを伴う,8,1,曇一時晴,8,1
2013/3/15,9.2,8,1,13.8,8,1,4.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2013/3/16,12.5,8,1,17.8,8,1,7.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/3/17,12.9,8,1,16.5,8,1,8.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,薄曇,8,1
2013/3/18,18.3,8,1,20.7,8,1,14.5,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々雨,8,1
2013/3/19,19.7,8,1,25.0,8,1,15.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇,8,1
2013/3/20,17.4,8,1,20.8,8,1,15.1,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,晴一時雨,8,1
2013/3/21,11.7,8,1,16.2,8,1,7.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後曇一時雨,8,1
2013/3/22,13.2,8,1,18.6,8,1,7.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇一時雨後晴,8,1
2013/3/23,13.7,8,1,17.7,8,1,11.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇一時雨,8,1
2013/3/24,11.0,8,1,13.3,8,1,9.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時雨,8,1
2013/3/25,9.8,8,1,11.2,8,1,6.7,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,雨後時々曇,8,1,雨後曇,8,1
2013/3/26,9.4,8,1,13.2,8,1,5.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後一時雨,8,1
2013/3/27,8.3,8,1,10.1,8,1,6.4,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇,8,1
2013/3/28,15.0,8,1,20.5,8,1,9.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時晴,8,1
2013/3/29,16.0,8,1,20.5,8,1,12.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2013/3/30,9.0,8,1,12.6,8,1,7.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後雨,8,1
2013/3/31,7.4,8,1,8.3,8,1,6.7,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,霧雨後曇時々晴,8,1
2013/4/1,11.2,8,1,15.2,8,1,6.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後雨,8,1
2013/4/2,10.6,8,1,12.6,8,1,8.3,8,1,53.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,大雨,8,1
2013/4/3,13.7,8,1,16.6,8,1,11.3,8,1,60.0,0,8,1,0,1,8,1,0,1,8,1,大雨後曇,8,1,快晴,8,1
2013/4/4,17.2,8,1,21.4,8,1,10.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,薄曇後一時晴,8,1
2013/4/5,18.1,8,1,22.5,8,1,13.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,薄曇時々晴,8,1
2013/4/6,17.4,8,1,20.7,8,1,15.3,8,1,99.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,大雨後曇、雷を伴う,8,1
2013/4/7,17.7,8,1,23.1,8,1,11.9,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/4/8,14.7,8,1,20.2,8,1,10.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2013/4/9,16.9,8,1,21.7,8,1,10.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴,8,1
2013/4/10,13.6,8,1,17.9,8,1,8.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨一時晴,8,1
2013/4/11,9.7,8,1,13.6,8,1,6.0,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴後一時雨,8,1,晴,8,1
2013/4/12,11.4,8,1,15.7,8,1,6.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2013/4/13,12.3,8,1,16.2,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2013/4/14,16.6,8,1,20.6,8,1,10.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇時々晴,8,1
2013/4/15,17.2,8,1,22.6,8,1,12.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/4/16,16.4,8,1,21.4,8,1,11.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇,8,1
2013/4/17,20.9,8,1,23.3,8,1,16.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴,8,1
2013/4/18,19.9,8,1,23.4,8,1,16.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々曇,8,1
2013/4/19,14.5,8,1,19.9,8,1,10.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2013/4/20,9.2,8,1,11.5,8,1,6.0,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨,8,1
2013/4/21,7.4,8,1,10.2,8,1,5.3,8,1,23.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇後晴,8,1
2013/4/22,11.8,8,1,17.3,8,1,6.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇後晴,8,1
2013/4/23,14.3,8,1,18.7,8,1,7.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2013/4/24,16.8,8,1,18.0,8,1,15.5,8,1,25.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨後曇,8,1
2013/4/25,18.0,8,1,22.8,8,1,13.4,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,薄曇,8,1
2013/4/26,17.5,8,1,22.6,8,1,12.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々曇,8,1
2013/4/27,15.8,8,1,21.2,8,1,11.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/4/28,16.8,8,1,20.5,8,1,12.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2013/4/29,17.9,8,1,21.7,8,1,12.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇,8,1
2013/4/30,19.6,8,1,21.9,8,1,15.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後雨,8,1
2013/5/1,14.5,8,1,18.7,8,1,12.0,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,雨時々曇,8,1
2013/5/2,14.6,8,1,19.7,8,1,10.6,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,曇時々晴,8,1
2013/5/3,14.8,8,1,19.1,8,1,11.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2013/5/4,16.2,8,1,20.3,8,1,11.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴,8,1
2013/5/5,18.1,8,1,22.9,8,1,14.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時薄曇,8,1
2013/5/6,20.1,8,1,25.3,8,1,14.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時雨、雷を伴う,8,1,快晴,8,1
2013/5/7,15.5,8,1,20.4,8,1,10.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2013/5/8,17.3,8,1,23.7,8,1,10.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/5/9,19.5,8,1,24.8,8,1,14.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/5/10,22.4,8,1,28.5,8,1,16.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,雨後曇,8,1
2013/5/11,18.9,8,1,20.8,8,1,17.3,8,1,20.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨一時霧雨,8,1
2013/5/12,19.9,8,1,25.3,8,1,16.4,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴後曇,8,1
2013/5/13,19.2,8,1,23.7,8,1,15.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,晴時々曇,8,1
2013/5/14,22.8,8,1,27.8,8,1,17.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴後曇,8,1
2013/5/15,20.7,8,1,25.5,8,1,16.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後薄曇,8,1
2013/5/16,20.5,8,1,26.7,8,1,15.2,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,雨後晴,8,1
2013/5/17,18.0,8,1,23.6,8,1,12.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時曇,8,1
2013/5/18,19.9,8,1,24.5,8,1,16.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,薄曇,8,1
2013/5/19,20.1,8,1,23.4,8,1,16.8,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,雨,8,1
2013/5/20,19.1,8,1,21.0,8,1,16.8,8,1,12.0,0,8,1,0,1,8,1,0,1,8,1,霧雨一時雨,8,1,雨後曇,8,1
2013/5/21,23.2,8,1,26.5,8,1,20.2,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後晴,8,1
2013/5/22,22.3,8,1,26.6,8,1,19.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2013/5/23,22.5,8,1,26.2,8,1,19.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々曇,8,1
2013/5/24,22.2,8,1,28.2,8,1,15.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後曇,8,1
2013/5/25,18.2,8,1,22.9,8,1,14.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2013/5/26,21.7,8,1,26.6,8,1,18.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴時々薄曇,8,1
2013/5/27,22.3,8,1,26.1,8,1,19.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2013/5/28,22.2,8,1,25.4,8,1,20.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2013/5/29,22.0,8,1,24.4,8,1,20.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後雨,8,1
2013/5/30,21.4,8,1,22.7,8,1,20.2,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2013/5/31,22.6,8,1,27.2,8,1,18.7,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇後晴,8,1
2013/6/1,20.3,8,1,26.0,8,1,16.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2013/6/2,18.3,8,1,23.3,8,1,14.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,薄曇,8,1
2013/6/3,20.0,8,1,24.9,8,1,14.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後晴,8,1,快晴,8,1
2013/6/4,23.2,8,1,29.1,8,1,18.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2013/6/5,22.8,8,1,27.7,8,1,20.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇,8,1
2013/6/6,22.6,8,1,25.3,8,1,20.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2013/6/7,22.2,8,1,25.4,8,1,20.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴,8,1,曇時々雨,8,1
2013/6/8,22.3,8,1,27.7,8,1,18.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴,8,1,晴,8,1
2013/6/9,23.6,8,1,29.1,8,1,19.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2013/6/10,23.6,8,1,27.5,8,1,21.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2013/6/11,21.4,8,1,23.0,8,1,19.8,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨一時曇,8,1
2013/6/12,21.1,8,1,24.1,8,1,19.3,8,1,7.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,雨,8,1
2013/6/13,21.4,8,1,22.5,8,1,20.7,8,1,41.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨一時曇,8,1
2013/6/14,23.5,8,1,27.0,8,1,20.5,8,1,11.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々晴,8,1
2013/6/15,26.0,8,1,29.9,8,1,23.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後雨,8,1
2013/6/16,22.9,8,1,25.2,8,1,21.2,8,1,26.5,0,8,1,0,1,8,1,0,1,8,1,雨後薄曇,8,1,曇後時々霧雨,8,1
2013/6/17,24.6,8,1,29.3,8,1,20.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2013/6/18,26.9,8,1,30.2,8,1,23.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇後一時雨,8,1,曇後一時雨,8,1
2013/6/19,26.7,8,1,28.0,8,1,23.9,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨一時曇,8,1
2013/6/20,22.3,8,1,24.3,8,1,20.8,8,1,9.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨,8,1
2013/6/21,21.8,8,1,24.0,8,1,19.7,8,1,13.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨後晴,8,1
2013/6/22,22.8,8,1,26.4,8,1,18.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇時々晴,8,1
2013/6/23,23.4,8,1,27.9,8,1,19.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2013/6/24,23.3,8,1,27.7,8,1,19.7,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
