ダウンロードした時刻：2021/02/03 17:37:43

,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,-6.5,8,1,-3.1,8,1,-12.3,8,1,0.0,8,1,11,8,1,0,8,1,,0,1,,0,1
2013/1/2,-6.0,8,1,-2.1,8,1,-12.9,8,1,1.5,8,1,20,8,1,10,8,1,,0,1,,0,1
2013/1/3,-9.3,8,1,-4.8,8,1,-20.9,8,1,0.0,8,1,21,8,1,1,8,1,,0,1,,0,1
2013/1/4,-14.1,8,1,-6.0,8,1,-23.8,8,1,0.0,8,1,18,8,1,1,8,1,,0,1,,0,1
2013/1/5,-9.9,8,1,-1.0,8,1,-21.9,8,1,1.0,8,1,17,8,1,2,8,1,,0,1,,0,1
2013/1/6,-7.2,8,1,-0.3,8,1,-16.7,8,1,4.0,8,1,23,8,1,7,8,1,,0,1,,0,1
2013/1/7,-11.8,8,1,-4.4,8,1,-19.6,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/8,-14.2,8,1,-4.3,8,1,-21.4,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/9,-14.6,8,1,-3.9,8,1,-24.5,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/10,-14.3,8,1,-5.3,8,1,-23.9,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/11,-13.2,8,1,-5.0,8,1,-23.4,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/12,-9.7,8,1,-2.6,8,1,-17.8,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/13,-6.7,8,1,-1.7,8,1,-17.0,8,1,0.0,8,1,21,8,1,1,8,1,,0,1,,0,1
2013/1/14,-10.9,8,1,-4.4,8,1,-18.3,8,1,0.0,8,1,20,8,1,0,8,1,,0,1,,0,1
2013/1/15,-9.8,8,1,-7.1,8,1,-18.5,8,1,0.0,8,1,23,8,1,3,8,1,,0,1,,0,1
2013/1/16,-13.3,8,1,-4.5,8,1,-22.3,8,1,0.0,8,1,23,8,1,0,8,1,,0,1,,0,1
2013/1/17,-14.3,8,1,-7.8,8,1,-21.2,8,1,0.0,8,1,23,8,1,0,8,1,,0,1,,0,1
2013/1/18,-13.2,8,1,-6.9,8,1,-22.6,8,1,0.0,8,1,24,8,1,1,8,1,,0,1,,0,1
2013/1/19,-7.3,8,1,-0.4,8,1,-18.1,8,1,0.0,8,1,25,8,1,2,8,1,,0,1,,0,1
2013/1/20,-2.6,8,1,-0.4,8,1,-6.8,8,1,0.5,8,1,27,8,1,2,8,1,,0,1,,0,1
2013/1/21,-5.1,8,1,-0.8,8,1,-11.6,8,1,0.0,8,1,25,8,1,1,8,1,,0,1,,0,1
2013/1/22,-8.0,8,1,-2.8,5,1,-13.6,5,1,0.0,8,1,24,8,1,0,8,1,,0,1,,0,1
2013/1/23,-8.6,8,1,-0.9,8,1,-15.8,8,1,0.0,8,1,25,8,1,1,8,1,,0,1,,0,1
2013/1/24,-5.6,8,1,2.1,8,1,-16.9,8,1,0.0,8,1,27,8,1,4,8,1,,0,1,,0,1
