ダウンロードした時刻：2021/02/03 17:37:12

,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,-1.0,8,1,1.3,8,1,-3.7,8,1,0.0,8,1,14,8,1,2,8,1,,0,1,,0,1
2010/1/2,0.3,8,1,1.6,8,1,-5.6,8,1,14.5,8,1,22,8,1,8,8,1,,0,1,,0,1
2010/1/3,-4.6,8,1,-0.9,8,1,-9.1,8,1,0.0,8,1,21,8,1,0,8,1,,0,1,,0,1
2010/1/4,-3.8,8,1,2.6,8,1,-9.8,8,1,2.5,8,1,26,8,1,5,8,1,,0,1,,0,1
2010/1/5,-4.7,8,1,-0.4,8,1,-11.5,8,1,2.0,8,1,27,8,1,3,8,1,,0,1,,0,1
2010/1/6,0.6,8,1,2.0,8,1,-1.3,8,1,0.0,8,1,24,8,1,0,8,1,,0,1,,0,1
2010/1/7,-1.5,8,1,0.4,8,1,-5.3,8,1,0.0,8,1,21,8,1,0,8,1,,0,1,,0,1
2010/1/8,-5.1,8,1,-0.9,8,1,-9.8,8,1,0.5,8,1,21,8,1,1,8,1,,0,1,,0,1
2010/1/9,-2.9,8,1,2.4,8,1,-8.6,8,1,0.0,8,1,21,8,1,0,8,1,,0,1,,0,1
2010/1/10,-5.0,8,1,-1.1,8,1,-11.5,8,1,0.0,8,1,21,8,1,1,8,1,,0,1,,0,1
2010/1/11,-7.8,8,1,-1.2,8,1,-13.7,8,1,0.0,8,1,21,8,1,0,8,1,,0,1,,0,1
2010/1/12,-7.7,8,1,-0.5,8,1,-15.1,8,1,0.0,8,1,21,8,1,0,8,1,,0,1,,0,1
2010/1/13,-6.5,8,1,-3.6,8,1,-10.3,8,1,0.0,8,1,22,8,1,2,8,1,,0,1,,0,1
2010/1/14,-7.4,8,1,-2.7,8,1,-15.1,8,1,0.0,8,1,22,8,1,0,5,1,,0,1,,0,1
2010/1/15,-8.6,8,1,-3.1,8,1,-16.6,8,1,0.0,8,1,22,8,1,0,8,1,,0,1,,0,1
2010/1/16,-9.7,8,1,-5.6,8,1,-19.2,8,1,0.0,8,1,22,8,1,2,8,1,,0,1,,0,1
2010/1/17,-7.0,8,1,-2.4,8,1,-13.9,8,1,2.0,8,1,28,8,1,6,8,1,,0,1,,0,1
2010/1/18,-5.4,8,1,1.2,8,1,-12.8,8,1,0.0,8,1,27,8,1,0,8,1,,0,1,,0,1
2010/1/19,-4.6,8,1,0.6,8,1,-10.8,8,1,0.0,8,1,25,8,1,0,8,1,,0,1,,0,1
2010/1/20,1.9,8,1,4.8,8,1,-2.6,8,1,1.0,8,1,24,8,1,1,8,1,,0,1,,0,1
2010/1/21,-6.8,8,1,-1.0,8,1,-14.6,8,1,0.5,8,1,21,8,1,2,8,1,,0,1,,0,1
2010/1/22,-8.8,8,1,-4.2,8,1,-16.7,8,1,0.0,8,1,18,8,1,0,8,1,,0,1,,0,1
2010/1/23,-4.8,8,1,-0.3,8,1,-10.8,8,1,0.0,8,1,18,8,1,0,8,1,,0,1,,0,1
2010/1/24,-2.3,8,1,2.2,8,1,-6.2,8,1,0.0,8,1,18,8,1,0,8,1,,0,1,,0,1
